Date,SP500,FTSE100,HSI,Nikkei225
2022-12-15,7426.2001953125,3895.75,19368.58984375,28051.69921875
2022-12-16,7332.10009765625,3852.360107421875,19450.669921875,27527.119140625
2022-12-19,7361.2998046875,3817.659912109375,19352.810546875,27237.640625
2022-12-20,7370.60009765625,3821.6201171875,19094.80078125,26568.029296875
2022-12-21,7497.2998046875,3878.43994140625,19160.490234375,26387.720703125
2022-12-22,7469.2998046875,3822.389892578125,19679.220703125,26507.869140625
2022-12-23,7473.0,3844.820068359375,19593.060546875,26235.25
2022-12-26,7473.0,3844.820068359375,19593.060546875,26405.869140625
2022-12-27,7473.0,3829.25,19593.060546875,26447.869140625
2022-12-28,7497.2001953125,3783.219970703125,19898.91015625,26340.5
2022-12-29,7512.7001953125,3849.280029296875,19741.140625,26093.669921875
2022-12-30,7451.7001953125,3839.5,19781.41015625,26094.5
2023-01-03,7554.10009765625,3824.139892578125,20145.2890625,26094.5
2023-01-04,7585.2001953125,3852.969970703125,20793.109375,25716.859375
2023-01-05,7633.5,3808.10009765625,21052.169921875,25820.80078125
2023-01-06,7699.5,3895.080078125,20991.640625,25973.849609375
2023-01-09,7724.89990234375,3892.090087890625,21388.33984375,25973.849609375
2023-01-10,7694.5,3919.25,21331.4609375,26175.560546875
2023-01-11,7725.0,3969.610107421875,21436.05078125,26446.0
2023-01-12,7794.0,3983.169921875,21514.099609375,26449.8203125
2023-01-13,7844.10009765625,3999.090087890625,21738.66015625,26119.51953125
2023-01-16,7860.10009765625,3999.090087890625,21746.720703125,25822.3203125
2023-01-17,7851.0,3990.969970703125,21577.640625,26138.6796875
2023-01-18,7830.7001953125,3928.860107421875,21678.0,26791.119140625
2023-01-19,7747.2998046875,3898.85009765625,21650.98046875,26405.23046875
2023-01-20,7770.60009765625,3972.610107421875,22044.650390625,26553.529296875
2023-01-23,7784.7001953125,4019.81005859375,22044.650390625,26906.0390625
2023-01-24,7757.39990234375,4016.949951171875,22044.650390625,27299.189453125
2023-01-25,7744.89990234375,4016.219970703125,22044.650390625,27395.009765625
2023-01-26,7761.10009765625,4060.429931640625,22566.779296875,27362.75
2023-01-27,7765.2001953125,4070.56005859375,22688.900390625,27382.560546875
2023-01-30,7784.89990234375,4017.77001953125,22069.73046875,27433.400390625
2023-01-31,7771.7001953125,4076.60009765625,21842.330078125,27327.109375
2023-02-01,7761.10009765625,4119.2099609375,22072.1796875,27346.880859375
2023-02-02,7820.2001953125,4179.759765625,21958.359375,27402.05078125
2023-02-03,7901.7998046875,4136.47998046875,21660.470703125,27509.4609375
2023-02-06,7836.7001953125,4111.080078125,21222.16015625,27693.650390625
2023-02-07,7864.7001953125,4164.0,21298.69921875,27685.470703125
2023-02-08,7885.2001953125,4117.85986328125,21283.51953125,27606.4609375
2023-02-09,7911.2001953125,4081.5,21624.359375,27584.349609375
2023-02-10,7882.5,4090.4599609375,21190.419921875,27670.98046875
2023-02-13,7947.60009765625,4137.2900390625,21164.419921875,27427.3203125
2023-02-14,7953.89990234375,4136.1298828125,21113.759765625,27602.76953125
2023-02-15,7997.7998046875,4147.60009765625,20812.169921875,27501.859375
2023-02-16,8012.5,4090.409912109375,20987.669921875,27696.439453125
2023-02-17,8004.39990234375,4079.090087890625,20719.810546875,27513.130859375
2023-02-20,8014.2998046875,4079.090087890625,20886.9609375,27531.939453125
2023-02-21,7977.7998046875,3997.340087890625,20529.490234375,27473.099609375
2023-02-22,7930.60009765625,3991.050048828125,20423.83984375,27104.3203125
2023-02-23,7907.7001953125,4012.320068359375,20351.349609375,27104.3203125
2023-02-24,7878.7001953125,3970.0400390625,20010.0390625,27453.48046875
2023-02-27,7935.10009765625,3982.239990234375,19943.509765625,27423.9609375
2023-02-28,7876.2998046875,3970.14990234375,19785.939453125,27445.560546875
2023-03-01,7914.89990234375,3951.389892578125,20619.7109375,27516.529296875
2023-03-02,7944.0,3981.35009765625,20429.4609375,27498.869140625
2023-03-03,7947.10009765625,4045.639892578125,20567.5390625,27927.470703125
2023-03-06,7929.7998046875,4048.419921875,20603.189453125,28237.779296875
2023-03-07,7919.5,3986.3701171875,20534.48046875,28309.16015625
2023-03-08,7929.89990234375,3992.010009765625,20051.25,28444.189453125
2023-03-09,7880.0,3918.320068359375,19925.740234375,28623.150390625
2023-03-10,7748.39990234375,3861.590087890625,19319.919921875,28143.970703125
2023-03-13,7548.60009765625,3855.760009765625,19695.970703125,27832.9609375
2023-03-14,7637.10009765625,3919.2900390625,19247.9609375,27222.0390625
2023-03-15,7344.5,3891.929931640625,19539.869140625,27229.48046875
2023-03-16,7410.0,3960.280029296875,19203.91015625,27010.609375
2023-03-17,7335.39990234375,3916.639892578125,19518.58984375,27333.7890625
2023-03-20,7403.89990234375,3951.570068359375,19000.7109375,26945.669921875
2023-03-21,7536.2001953125,4002.8701171875,19258.759765625,26945.669921875
2023-03-22,7566.7998046875,3936.969970703125,19591.4296875,27466.609375
2023-03-23,7499.60009765625,3948.719970703125,20049.640625,27419.609375
2023-03-24,7405.5,3970.989990234375,19915.6796875,27385.25
2023-03-27,7471.7998046875,3977.530029296875,19567.689453125,27476.869140625
2023-03-28,7484.2998046875,3971.27001953125,19784.650390625,27518.25
2023-03-29,7564.2998046875,4027.81005859375,20192.400390625,27883.779296875
2023-03-30,7620.39990234375,4050.830078125,20309.130859375,27782.9296875
2023-03-31,7631.7001953125,4109.31005859375,20400.109375,28041.48046875
2023-04-03,7673.0,4124.509765625,20409.1796875,28188.150390625
2023-04-04,7634.5,4100.60009765625,20274.58984375,28287.419921875
2023-04-05,7662.89990234375,4090.3798828125,20274.58984375,27813.259765625
2023-04-06,7741.60009765625,4105.02001953125,20331.19921875,27472.630859375
2023-04-07,7741.60009765625,4105.02001953125,20331.19921875,27518.310546875
2023-04-10,7741.60009765625,4109.10986328125,20331.19921875,27633.66015625
2023-04-11,7785.7001953125,4108.93994140625,20485.240234375,27923.369140625
2023-04-12,7824.7998046875,4091.949951171875,20309.859375,28082.69921875
2023-04-13,7843.39990234375,4146.22021484375,20344.48046875,28156.970703125
2023-04-14,7871.89990234375,4137.64013671875,20438.810546875,28493.470703125
2023-04-17,7879.5,4151.31982421875,20782.44921875,28514.779296875
2023-04-18,7909.39990234375,4154.8701171875,20650.509765625,28658.830078125
2023-04-19,7898.7998046875,4154.52001953125,20367.759765625,28606.759765625
2023-04-20,7902.60009765625,4129.7900390625,20396.970703125,28657.5703125
2023-04-21,7914.10009765625,4133.52001953125,20075.73046875,28564.369140625
2023-04-24,7912.2001953125,4137.0400390625,19959.939453125,28593.51953125
2023-04-25,7891.10009765625,4071.6298828125,19617.880859375,28620.0703125
2023-04-26,7852.60009765625,4055.989990234375,19757.26953125,28416.470703125
2023-04-27,7831.60009765625,4135.35009765625,19840.279296875,28457.6796875
2023-04-28,7870.60009765625,4169.47998046875,19894.5703125,28856.439453125
2023-05-01,7870.60009765625,4167.8701171875,19894.5703125,29123.1796875
